# fw=nextui workload=menuidle start=2026-09-13 22:27:19 gov=performance max0=2000000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
11042,35872,36877,36877,29600,1608000,4.2,51,3646000,Discharging,3.8,6.8,3.8,3.3,3703,5648,,,,,unsupported
11045,35939,37145,36408,29600,1608000,3.9,51,3635000,Discharging,2.9,5.9,1.7,4.5,2676,4399,,,,,unsupported
11047,36542,37547,36274,29600,1800000,3.4,51,3645000,Discharging,3.0,5.2,3.4,2.1,3494,5518,,,,,unsupported
11049,36073,37212,36743,29600,1608000,3.4,51,3645000,Discharging,2.1,4.7,2.5,3.3,4064,6588,,,,,unsupported
11052,35738,37279,36676,29600,1800000,3.7,51,3633000,Discharging,5.8,4.4,3.1,2.2,1536,2185,,,,,unsupported
11054,36207,37547,36609,29600,1800000,3.3,51,3645000,Discharging,4.1,4.5,2.3,2.8,1722,1840,,,,,unsupported
11056,36006,37145,36542,29600,1416000,3.8,51,3645000,Discharging,2.3,5.4,5.0,1.9,1518,1614,,,,,unsupported
11058,35939,37346,36810,29600,1416000,3.5,51,3645000,Discharging,4.1,5.5,2.7,2.3,1504,1749,,,,,unsupported
11060,35738,37145,36676,29600,1416000,3.5,51,3645000,Discharging,4.1,3.6,4.1,2.3,1538,1684,,,,,unsupported
11063,35738,37279,36609,29600,1608000,3.8,51,3635000,Discharging,6.0,4.1,3.2,0.9,1187,1201,,,,,unsupported
11065,35604,37346,36676,29600,1608000,3.4,51,3645000,Discharging,5.5,2.7,1.8,3.6,1742,1979,,,,,unsupported
11067,35939,37346,36810,29600,1608000,3.7,51,3645000,Discharging,4.2,1.9,3.2,5.9,1506,1552,,,,,unsupported
11069,35872,37212,36341,29500,1416000,3.5,51,3645000,Discharging,5.5,2.3,1.8,4.1,1550,1608,,,,,unsupported
11072,35939,37145,36743,29600,1800000,3.3,51,3645000,Discharging,3.7,3.7,2.3,4.2,979,1084,,,,,unsupported
11074,35805,37011,36609,29600,1416000,3.5,51,3645000,Discharging,5.1,2.3,2.3,3.2,1587,1558,,,,,unsupported
11076,35939,37279,36877,29600,1416000,3.4,51,3644000,Discharging,5.1,4.1,2.8,2.3,1581,1660,,,,,unsupported
11078,35805,37145,36408,29600,1416000,3.4,51,3644000,Discharging,5.0,1.8,4.6,1.8,1598,1794,,,,,unsupported
11080,35939,37078,36341,29600,1608000,3.2,51,3644000,Discharging,4.6,4.6,2.8,1.8,1530,1601,,,,,unsupported
11083,35604,37145,36743,29500,1608000,3.7,51,3644000,Discharging,5.9,1.8,4.2,2.3,1089,1147,,,,,unsupported
11085,36207,37078,36676,29500,1416000,3.3,51,3645000,Discharging,5.5,2.3,2.3,3.3,1527,1620,,,,,unsupported
11087,35604,36810,36609,29600,1416000,3.8,51,3645000,Discharging,5.5,3.7,5.0,1.4,1514,1556,,,,,unsupported
11089,35537,37078,36609,29600,1608000,3.6,51,3644000,Discharging,4.6,5.5,1.8,1.8,1442,1506,,,,,unsupported
11091,35671,36877,36408,29500,1416000,4.1,51,3645000,Discharging,4.6,3.2,6.3,2.3,1512,1596,,,,,unsupported
11094,36073,37279,36743,29500,1800000,4.0,51,3645000,Discharging,5.1,4.1,4.1,2.8,1102,1110,,,,,unsupported
11096,36006,37279,36207,29500,1608000,3.4,51,3644000,Discharging,4.6,2.3,4.2,1.8,1484,1544,,,,,unsupported
11098,35805,37212,36341,29600,1608000,3.8,51,3627000,Discharging,6.4,2.7,4.5,2.3,1532,1738,,,,,unsupported
11100,36073,37279,36341,29500,1608000,3.0,51,3644000,Discharging,4.2,5.1,0.5,2.8,1520,1623,,,,,unsupported
11102,35671,37078,36542,29500,1416000,3.7,51,3644000,Discharging,5.5,1.4,5.0,2.3,1456,1513,,,,,unsupported
11105,35805,37011,36676,29500,1608000,3.6,51,3643000,Discharging,4.7,5.0,2.3,3.2,1164,1133,,,,,unsupported
11107,35805,37011,36676,29500,1800000,3.6,51,3644000,Discharging,6.0,1.4,3.7,1.8,1562,1794,,,,,unsupported
11109,36006,37145,36475,29500,1416000,3.1,51,3632000,Discharging,4.2,5.5,0.9,2.3,1344,1430,,,,,unsupported
11111,35671,37212,36609,29500,1608000,4.0,51,3644000,Discharging,3.7,7.1,3.2,1.8,1508,1602,,,,,unsupported
11113,35872,37279,36609,29500,1608000,4.0,51,3644000,Discharging,5.0,3.7,4.6,3.2,1611,1574,,,,,unsupported
11115,35805,37078,36408,29500,1608000,3.3,51,3644000,Discharging,5.0,1.8,1.8,4.6,1540,1694,,,,,unsupported
11118,36140,37145,36408,29500,1608000,3.3,51,3643000,Discharging,5.1,2.3,2.8,2.7,1019,1071,,,,,unsupported
11120,35738,37480,36475,29500,1416000,3.8,51,3644000,Discharging,5.1,2.3,5.4,1.8,1648,1752,,,,,unsupported
11122,36006,36743,36542,29500,1416000,3.2,51,3643000,Discharging,5.9,3.7,2.3,1.8,1509,1670,,,,,unsupported
11124,36274,37078,36475,29500,1416000,3.8,51,3643000,Discharging,4.7,2.8,4.1,3.7,1666,1642,,,,,unsupported
11126,36006,36877,36408,29500,1608000,3.0,51,3643000,Discharging,5.9,1.4,2.8,1.8,1585,1656,,,,,unsupported
11129,35805,37011,36475,29500,1608000,3.4,51,3642000,Discharging,5.5,1.4,3.2,2.8,1017,1112,,,,,unsupported
11131,35738,36877,36341,29500,1416000,3.3,51,3643000,Discharging,5.1,2.7,4.1,2.3,1461,1518,,,,,unsupported
11133,35403,36877,36408,29600,1800000,2.3,51,3631000,Discharging,3.7,1.9,1.4,2.3,1364,1521,,,,,unsupported
11135,35738,37279,36408,29500,1800000,3.6,51,3643000,Discharging,5.1,2.7,1.9,4.1,1714,1701,,,,,unsupported
11137,36006,37078,36408,29500,1608000,3.2,51,3644000,Discharging,6.8,2.3,2.8,2.3,1491,1591,,,,,unsupported
11140,35604,37078,36408,29500,1608000,3.2,51,3643000,Discharging,5.0,2.3,2.3,2.3,1073,1278,,,,,unsupported
11142,36006,36944,36274,29500,1608000,3.4,51,3643000,Discharging,5.1,3.7,3.7,1.8,1484,1562,,,,,unsupported
11144,35805,37212,36743,29500,1608000,3.3,51,3632000,Discharging,5.1,2.8,4.1,1.4,1664,1728,,,,,unsupported
