# fw=nextui workload=menuidle start=2026-09-13 14:02:05 gov=performance
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status
13057,31919,33527,32254,26800,1800000,2,63,3727000,Discharging
13060,31919,33259,32187,26800,1416000,1,63,3727000,Discharging
13062,31986,33125,32321,26800,1416000,2,63,3726000,Discharging
13064,32053,33594,32589,26800,1416000,2,63,3727000,Discharging
13066,32187,33594,32455,26800,1416000,2,63,3726000,Discharging
13068,32053,33393,32790,26800,1608000,2,63,3726000,Discharging
13070,31718,33594,32790,26800,1416000,2,63,3727000,Discharging
13072,32187,33460,32723,26800,1800000,2,63,3720000,Discharging
13074,32053,33326,32589,26800,1416000,1,63,3726000,Discharging
13076,31919,33460,32388,26800,1800000,2,63,3726000,Discharging
13078,32120,33192,32790,26800,1416000,2,63,3726000,Discharging
13080,32388,33661,32790,26800,1416000,2,63,3726000,Discharging
13083,32254,33326,32388,26800,1416000,2,63,3725000,Discharging
13085,32053,33728,32857,26800,1416000,2,63,3726000,Discharging
13087,32120,33058,32790,26800,1416000,2,63,3726000,Discharging
13089,32254,32991,32656,26800,1416000,2,63,3726000,Discharging
13091,32187,33326,32455,26800,1416000,2,63,3726000,Discharging
13093,31986,33460,32455,26800,1416000,2,63,3718000,Discharging
13095,31852,33259,32723,26800,1200000,2,63,3726000,Discharging
13097,32120,33393,32589,26800,1416000,2,63,3725000,Discharging
13099,31852,33125,32455,26800,1416000,2,63,3725000,Discharging
13101,31852,33460,32790,26800,1416000,2,63,3725000,Discharging
13104,31852,33661,32723,26800,1800000,2,63,3725000,Discharging
13106,32187,33326,32656,26800,1416000,2,63,3726000,Discharging
13108,31919,33393,32589,26800,1416000,2,63,3725000,Discharging
13110,31718,33125,32455,26800,1416000,2,63,3724000,Discharging
13112,32053,33058,32455,26800,1800000,2,63,3724000,Discharging
13114,32254,33125,32790,26800,1608000,2,63,3725000,Discharging
13116,31986,33259,32388,26800,1416000,2,63,3713000,Discharging
13118,31718,32991,32589,26800,1800000,2,63,3724000,Discharging
13120,32053,33527,32656,26800,1416000,2,63,3725000,Discharging
13122,32053,33527,32522,26800,1416000,2,63,3724000,Discharging
13125,31718,33192,32455,26800,1800000,3,63,3725000,Discharging
13127,31852,33393,32589,26800,1800000,2,63,3725000,Discharging
13129,31852,33125,32656,26800,1608000,2,63,3725000,Discharging
13131,31986,33192,32589,26800,1416000,2,63,3725000,Discharging
13133,32187,33259,32857,26800,1416000,2,63,3725000,Discharging
13135,32053,33259,32924,26800,1416000,2,63,3725000,Discharging
13137,31852,33192,32857,26700,1416000,2,63,3724000,Discharging
13139,31718,33192,32656,26800,1416000,2,63,3719000,Discharging
13141,31852,33192,32656,26800,1416000,2,63,3724000,Discharging
13143,31517,33259,32723,26800,1608000,2,63,3725000,Discharging
13146,32254,33125,32656,26800,1416000,2,63,3725000,Discharging
13148,31785,33460,32455,26700,1416000,2,63,3724000,Discharging
